lon	lat	plotsize	species_richness	aus_state_info	elevation	hfp	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	bio_10	bio_11	bio_12	bio_13	bio_14	bio_15	bio_16	bio_17	bio_18	bio_19	species_list
120.1293	-33.5806	100	11	11	175	5.0801	16.4583	11.9	54.8387	369.8515	28.4	6.7	21.7	12.8333	20.8667	20.95	11.9333	368	45	17	31.0676	129	59	64	125	Allocasuarina campestris, Calothamnus quadrifidus, Eucalyptus falcata, Eucalyptus tetragona, Gastrolobium parviflorum, Hibbertia pungens, Hovea acanthoclada, Lasiopetalum compactum, Lepidosperma, Lepidosperma, Melaleuca thapsina
120.1795	-33.6188	100	14	11	205	2.6657	16.4542	12.0917	55.4664	371.9143	28.4	6.6	21.8	12.8667	20.8833	20.9667	11.9167	385	48	17	33.4227	139	59	65	134	Acacia binata, Acacia ingrata, Coopernookia strophiolata, Daviesia articulata, Eucalyptus flocktoniae, Eucalyptus phenax, Eucalyptus suggrandis, Gahnia aristata, Grevillea fastigiata, Grevillea pectinata, Lepidosperma angustatum, Lepidosperma gahnioides, Melaleuca, Pultenaea purpurea
120.3713	-33.6405	100	19	11	187	14.2363	16.3292	11.725	55.047	363.6711	27.9	6.6	21.3	12.7667	20.65	20.75	11.8833	404	51	17	37.7379	150	55	62	146	Acacia ingrata, Banksia lehmanniana, Banksia media, Daviesia anceps, Eucalyptus incrassata, Eucalyptus kessellii, Gahnia aristata, Glischrocaryon flavescens, Hakea verrucosa, Hybanthus floribundus, Lepidosperma, Leucopogon infuscatus, Melaleuca pentagona, Melaleuca pomphostoma, Microcybe pauciflora, Nematolepis phebalioides, Pultenaea calycina, Spyridium, Tetraria capillaris
120.1895	-33.6848	100	13	11	136	12.6481	16.4083	11.4	55.6098	347.7645	27.5	7	20.5	13.0833	20.55	20.6667	12.2	405	53	16	36.0287	148	58	66	141	Acacia pinguiculosa, Calytrix leschenaultii, Cassytha glabella, Eucalyptus incrassata, Eucalyptus tetragona, Grevillea rigida, Jacksonia viscosa, Lepidosperma, Leucopogon conostephioides, Lomandra mucronata, Petrophile seminuda, Schoenus racemosus, Verticordia chrysantha
120.2941	-33.6895	100	11	11	97	0.398	16.7792	11.8917	55.8294	359.9398	28.3	7	21.3	13.3	21.0667	21.1333	12.3833	410	54	16	38.7405	154	55	63	147	Acacia ophiolithica, Calothamnus quadrifidus, Dodonaea pinifolia, Hakea verrucosa, Hibbertia pungens, Kunzea cincinnata, Lepidosperma, Lepidosperma diurnum, Melaleuca hamata, Phyllanthus calycinus, Platysace maxwellii
120.144	-33.5926	100	14	11	236	7.7567	16.1833	11.7833	54.8062	368.4447	28	6.5	21.5	12.6	20.5833	20.6667	11.7	380	46	17	32.432	135	59	65	132	Acacia glaucoptera, Beyeria sulcata, Eucalyptus calycogona, Eucalyptus flocktoniae, Eucalyptus phenax, Eucalyptus pluricaulis, Grevillea hugelii, Hakea commutata, Lasiopetalum compactum, Melaleuca, Melaleuca hamata, Phebalium tuberculosum, Poaceae, Westringia dampieri
120.4088	-33.6714	100	21	11	144	6.3023	16.575	11.7167	55.2673	364.6574	28.1	6.9	21.2	13.05	20.8833	20.9833	12.1167	428	55	17	38.1346	160	58	66	155	Acacia glaucoptera, Acacia ingrata, Astroloma epacridis, Cassytha melantha, Coopernookia polygalacea, Cryptandra wilsonii, Daviesia articulata, Dodonaea concinna, Eucalyptus flocktoniae, Eucalyptus phaenophylla, Eucalyptus phenax, Gahnia aristata, Grevillea pectinata, Hakea commutata, Hibbertia psilocarpa, Hybanthus floribundus, Lepidosperma angustatum, Lepidosperma gahnioides, Melaleuca, Pultenaea rotundifolia, Wilsonia humilis
120.3874	-33.6632	100	19	11	166	7.1731	16.4333	11.5667	55.0794	362.5248	27.8	6.8	21	12.9	20.7333	20.8333	12	421	54	17	38.3731	158	57	65	153	Acacia heterochroa, Adenanthos oreophilus, Amphipogon turbinatus, Banksia lehmanniana, Boronia crassifolia, Dryandra quercifolia, Eucalyptus falcata, Eucalyptus tetragona, Genoplesium nigricans, Jacksonia elongata, Kunzea similis, Leptospermum spinescens, Leucopogon carinatus, Leucopogon conostephioides, Lomandra mucronata, Melaleuca striata, Schoenus sublaxus, Taxandria spathulata, Xanthorrhoea platyphylla
120.2524	-33.6766	100	7	11	170	0.4537	16.35	11.7	55.7143	355.7131	27.7	6.7	21	12.9167	20.6	20.6833	12.0333	407	53	17	37.3307	152	57	64	145	Daviesia lancifolia, Eucalyptus flocktoniae, Eucalyptus incrassata, Eucalyptus leptocalyx, Eucalyptus phaenophylla, Lepidosperma, Melaleuca stramentosa
120.1168	-33.5373	100	13	11	206	0.5128	16.2583	11.6667	54.0123	372.1487	28.2	6.6	21.6	12.6333	20.7	20.7667	11.7167	351	44	16	31.1429	124	57	63	119	Beyeria sulcata, Calothamnus quadrifidus, Dodonaea pinifolia, Eucalyptus falcata, Eucalyptus sporadica, Hakea verrucosa, Hovea acanthoclada, Labichea lanceolata, Lepidosperma, Leptospermum maxwellii, Platysace maxwellii, Stylidium albomontis, Trymalium elachophyllum
120.2126	-33.6373	100	20	11	133	0.4676	16.6708	11.9583	55.6202	367.1788	28.4	6.9	21.5	13.1	21.05	21.1167	12.1833	388	50	16	36.121	143	56	63	137	Acacia ingrata, Acacia ophiolithica, Allocasuarina scleroclada, Boronia inornata, Daviesia anceps, Dodonaea pinifolia, Eriostemon gardneri, Eucalyptus, Eucalyptus brachycalyx, Eucalyptus indurata, Grevillea oligantha, Hakea verrucosa, Halgania andromedifolia, Hibbertia rostellata, Hybanthus floribundus, Leptomeria pachyclada, Melaleuca hamata, Melaleuca pauperiflora, Populus, Styphelia pulchella
120.0265	-33.4924	100	27	11	401	1.4296	15.5208	11.925	53.4753	392.2051	28	5.7	22.3	11.6667	20.2167	20.25	10.7333	378	45	18	30.3609	132	62	67	129	Adenanthos flavidiflorus, Allocasuarina humilis, Amphipogon turbinatus, Banksia laevigata, Beaufortia micrantha, Boronia crassifolia, Caustis dioica, Conostylis argentea, Darwinia vestita, Daviesia euryloba, Drosera grievei, Dryandra corvijuga, Dryandra erythrocephala, Eucalyptus tetragona, Gahnia ancistrophylla, Goodenia pinifolia, Hakea cygna, Hemigenia teretiuscula, Jacksonia viscosa, Lepidobolus preissianus, Lepidosperma, Lomandra mucronata, Melaleuca villosisepala, Mesomelaena stygia, Schoenus pleiostemoneus, Taxandria spathulata, Verticordia grandiflora
120.1597	-33.6254	100	18	11	240	5.072	16.175	11.8	55.1402	366.1005	27.9	6.5	21.4	12.6667	20.55	20.6333	11.7333	388	48	17	32.8965	138	59	66	134	Acrotriche ramiflora, Andersonia, Banksia lehmanniana, Beaufortia orbifolia, Beaufortia schaueri, Boronia oxyantha, Daviesia mollis, Dryandra quercifolia, Eucalyptus pluricaulis, Eucalyptus preissiana, Lepidosperma, Lepidosperma, Lomandra micrantha, Melaleuca stramentosa, Petrophile glauca, Stylidium albomontis, Taxandria spathulata, Tetraria capillaris
120.4031	-33.6723	100	24	11	172	6.3023	16.4375	11.6417	54.9135	364.3246	28	6.8	21.2	12.9	20.75	20.85	11.9833	428	55	17	38.1346	160	58	66	155	Acacia ingrata, Beaufortia schaueri, Beyeria sulcata, Boronia inornata, Cassytha melantha, Choretrum glomeratum, Chorizema trigonum, Coopernookia strophiolata, Eucalyptus incrassata, Eucalyptus phaenophylla, Eucalyptus phenax, Eucalyptus suggrandis, Eucalyptus uncinata, Hibbertia psilocarpa, Lepidosperma, Lepidosperma, Leucopogon carinatus, Melaleuca hamata, Melaleuca lateriflora, Melaleuca subfalcata, Pultenaea rotundifolia, Spyridium cordatum, Taxandria spathulata, Tetraria capillaris
